"State","Count (2020–2021)","Percent (2020–2021)","Count (2021–2022)","Percent (2021–2022)"
"AK",276,"1.13",276,"1.10"
"AL",395,"1.61",406,"1.61"
"AR",339,"1.38",341,"1.36"
"AZ",534,"2.18",559,"2.22"
"CA",2620,"10.68",2641,"10.50"
"CO",522,"2.13",532,"2.12"
"CT",202,"0.82",200,"0.80"
"DC",42,"0.17",43,"0.17"
"DE",56,"0.23",58,"0.23"
"FL",1099,"4.48",1121,"4.46"
"GA",513,"2.09",518,"2.06"
"HI",68,"0.28",68,"0.27"
"IA",352,"1.43",362,"1.44"
"ID",245,"1.00",258,"1.03"
"IL",722,"2.94",730,"2.90"
"IN",438,"1.79",445,"1.77"
"KS",362,"1.48",399,"1.59"
"KY",398,"1.62",401,"1.59"
"LA",380,"1.55",380,"1.51"
"MA",404,"1.65",409,"1.63"
"MD",260,"1.06",267,"1.06"
"ME",127,"0.52",124,"0.49"
"MI",1198,"4.88",1203,"4.78"
"MN",828,"3.38",858,"3.41"
"MO",575,"2.34",608,"2.42"
"MS",248,"1.01",244,"0.97"
"MT",180,"0.73",189,"0.75"
"NC",697,"2.84",718,"2.86"
"ND",171,"0.70",175,"0.70"
"NE",267,"1.09",268,"1.07"
"NH",99,"0.40",96,"0.38"
"NJ",511,"2.08",529,"2.10"
"NM",216,"0.88",229,"0.91"
"NV",172,"0.70",171,"0.68"
"NY",884,"3.60",889,"3.54"
"OH",894,"3.64",1035,"4.12"
"OK",484,"1.97",499,"1.98"
"OR",343,"1.40",353,"1.40"
"PA",736,"3.00",732,"2.91"
"PR",231,"0.94",234,"0.93"
"RI",62,"0.25",63,"0.25"
"SC",264,"1.08",270,"1.07"
"SD",196,"0.80",195,"0.78"
"TN",431,"1.76",456,"1.81"
"TX",2252,"9.18",2338,"9.30"
"UT",308,"1.26",314,"1.25"
"VA",333,"1.36",335,"1.33"
"VT",56,"0.23",56,"0.22"
"WA",701,"2.86",709,"2.82"
"WI",595,"2.43",607,"2.41"
"WV",146,"0.60",133,"0.53"
"WY",99,"0.40",100,"0.40"
