"SCHOOL_YEAR","State_Code","CS_Status","Count","Percent"
"2020-2021","AK","At Least One CS Class",67,24.28
"2020-2021","AK","No CS Classes",209,75.72
"2020-2021","AL","At Least One CS Class",244,61.77
"2020-2021","AL","No CS Classes",151,38.23
"2020-2021","AR","At Least One CS Class",294,86.73
"2020-2021","AR","No CS Classes",45,13.27
"2020-2021","AZ","At Least One CS Class",199,37.27
"2020-2021","AZ","No CS Classes",335,62.73
"2020-2021","CA","At Least One CS Class",934,35.65
"2020-2021","CA","No CS Classes",1686,64.35
"2020-2021","CO","At Least One CS Class",341,65.33
"2020-2021","CO","No CS Classes",181,34.67
"2020-2021","CT","At Least One CS Class",146,72.28
"2020-2021","CT","No CS Classes",56,27.72
"2020-2021","DC","At Least One CS Class",10,23.81
"2020-2021","DC","No CS Classes",32,76.19
"2020-2021","DE","At Least One CS Class",31,55.36
"2020-2021","DE","No CS Classes",25,44.64
"2020-2021","FL","At Least One CS Class",242,22.02
"2020-2021","FL","No CS Classes",857,77.98
"2020-2021","GA","At Least One CS Class",343,66.86
"2020-2021","GA","No CS Classes",170,33.14
"2020-2021","HI","At Least One CS Class",44,64.71
"2020-2021","HI","No CS Classes",24,35.29
"2020-2021","IA","At Least One CS Class",294,83.52
"2020-2021","IA","No CS Classes",58,16.48
"2020-2021","ID","At Least One CS Class",104,42.45
"2020-2021","ID","No CS Classes",141,57.55
"2020-2021","IL","At Least One CS Class",435,60.25
"2020-2021","IL","No CS Classes",287,39.75
"2020-2021","IN","At Least One CS Class",298,68.04
"2020-2021","IN","No CS Classes",140,31.96
"2020-2021","KS","At Least One CS Class",169,46.69
"2020-2021","KS","No CS Classes",193,53.31
"2020-2021","KY","At Least One CS Class",225,56.53
"2020-2021","KY","No CS Classes",173,43.47
"2020-2021","LA","At Least One CS Class",137,36.05
"2020-2021","LA","No CS Classes",243,63.95
"2020-2021","MA","At Least One CS Class",306,75.74
"2020-2021","MA","No CS Classes",98,24.26
"2020-2021","MD","At Least One CS Class",203,78.08
"2020-2021","MD","No CS Classes",57,21.92
"2020-2021","ME","At Least One CS Class",61,48.03
"2020-2021","ME","No CS Classes",66,51.97
"2020-2021","MI","At Least One CS Class",426,35.56
"2020-2021","MI","No CS Classes",772,64.44
"2020-2021","MN","At Least One CS Class",228,27.54
"2020-2021","MN","No CS Classes",600,72.46
"2020-2021","MO","At Least One CS Class",303,52.7
"2020-2021","MO","No CS Classes",272,47.3
"2020-2021","MS","At Least One CS Class",126,50.81
"2020-2021","MS","No CS Classes",122,49.19
"2020-2021","MT","At Least One CS Class",101,56.11
"2020-2021","MT","No CS Classes",79,43.89
"2020-2021","NC","At Least One CS Class",329,47.2
"2020-2021","NC","No CS Classes",368,52.8
"2020-2021","ND","At Least One CS Class",76,44.44
"2020-2021","ND","No CS Classes",95,55.56
"2020-2021","NE","At Least One CS Class",234,87.64
"2020-2021","NE","No CS Classes",33,12.36
"2020-2021","NH","At Least One CS Class",71,71.72
"2020-2021","NH","No CS Classes",28,28.28
"2020-2021","NJ","At Least One CS Class",360,70.45
"2020-2021","NJ","No CS Classes",151,29.55
"2020-2021","NM","At Least One CS Class",71,32.87
"2020-2021","NM","No CS Classes",145,67.13
"2020-2021","NV","At Least One CS Class",126,73.26
"2020-2021","NV","No CS Classes",46,26.74
"2020-2021","NY","At Least One CS Class",491,55.54
"2020-2021","NY","No CS Classes",393,44.46
"2020-2021","OH","At Least One CS Class",554,61.97
"2020-2021","OH","No CS Classes",340,38.03
"2020-2021","OK","At Least One CS Class",313,64.67
"2020-2021","OK","No CS Classes",171,35.33
"2020-2021","OR","At Least One CS Class",130,37.9
"2020-2021","OR","No CS Classes",213,62.1
"2020-2021","PA","At Least One CS Class",486,66.03
"2020-2021","PA","No CS Classes",250,33.97
