"SCHOOL_YEAR","State_Code","Count","Percent"
"2020-2021","AK",276,"1.13"
"2020-2021","AL",395,"1.61"
"2020-2021","AR",339,"1.38"
"2020-2021","AZ",534,"2.18"
"2020-2021","CA",2620,"10.68"
"2020-2021","CO",522,"2.13"
"2020-2021","CT",202,"0.82"
"2020-2021","DC",42,"0.17"
"2020-2021","DE",56,"0.23"
"2020-2021","FL",1099,"4.48"
"2020-2021","GA",513,"2.09"
"2020-2021","HI",68,"0.28"
"2020-2021","IA",352,"1.43"
"2020-2021","ID",245,"1.00"
"2020-2021","IL",722,"2.94"
"2020-2021","IN",438,"1.79"
"2020-2021","KS",362,"1.48"
"2020-2021","KY",398,"1.62"
"2020-2021","LA",380,"1.55"
"2020-2021","MA",404,"1.65"
"2020-2021","MD",260,"1.06"
"2020-2021","ME",127,"0.52"
"2020-2021","MI",1198,"4.88"
"2020-2021","MN",828,"3.38"
"2020-2021","MO",575,"2.34"
"2020-2021","MS",248,"1.01"
"2020-2021","MT",180,"0.73"
"2020-2021","NC",697,"2.84"
"2020-2021","ND",171,"0.70"
"2020-2021","NE",267,"1.09"
"2020-2021","NH",99,"0.40"
"2020-2021","NJ",511,"2.08"
"2020-2021","NM",216,"0.88"
"2020-2021","NV",172,"0.70"
"2020-2021","NY",884,"3.60"
"2020-2021","OH",894,"3.64"
"2020-2021","OK",484,"1.97"
"2020-2021","OR",343,"1.40"
"2020-2021","PA",736,"3.00"
"2020-2021","PR",231,"0.94"
"2020-2021","RI",62,"0.25"
"2020-2021","SC",264,"1.08"
"2020-2021","SD",196,"0.80"
"2020-2021","TN",431,"1.76"
"2020-2021","TX",2252,"9.18"
"2020-2021","UT",308,"1.26"
"2020-2021","VA",333,"1.36"
"2020-2021","VT",56,"0.23"
"2020-2021","WA",701,"2.86"
"2020-2021","WI",595,"2.43"
"2020-2021","WV",146,"0.60"
"2020-2021","WY",99,"0.40"
"2021-2022","AK",276,"1.10"
"2021-2022","AL",406,"1.61"
"2021-2022","AR",341,"1.36"
"2021-2022","AZ",559,"2.22"
"2021-2022","CA",2641,"10.50"
"2021-2022","CO",532,"2.12"
"2021-2022","CT",200,"0.80"
"2021-2022","DC",43,"0.17"
"2021-2022","DE",58,"0.23"
"2021-2022","FL",1121,"4.46"
"2021-2022","GA",518,"2.06"
"2021-2022","HI",68,"0.27"
"2021-2022","IA",362,"1.44"
"2021-2022","ID",258,"1.03"
"2021-2022","IL",730,"2.90"
"2021-2022","IN",445,"1.77"
"2021-2022","KS",399,"1.59"
"2021-2022","KY",401,"1.59"
"2021-2022","LA",380,"1.51"
"2021-2022","MA",409,"1.63"
"2021-2022","MD",267,"1.06"
"2021-2022","ME",124,"0.49"
"2021-2022","MI",1203,"4.78"
"2021-2022","MN",858,"3.41"
"2021-2022","MO",608,"2.42"
"2021-2022","MS",244,"0.97"
"2021-2022","MT",189,"0.75"
"2021-2022","NC",718,"2.86"
"2021-2022","ND",175,"0.70"
"2021-2022","NE",268,"1.07"
"2021-2022","NH",96,"0.38"
"2021-2022","NJ",529,"2.10"
"2021-2022","NM",229,"0.91"
"2021-2022","NV",171,"0.68"
"2021-2022","NY",889,"3.54"
"2021-2022","OH",1035,"4.12"
"2021-2022","OK",499,"1.98"
"2021-2022","OR",353,"1.40"
"2021-2022","PA",732,"2.91"
"2021-2022","PR",234,"0.93"
"2021-2022","RI",63,"0.25"
"2021-2022","SC",270,"1.07"
"2021-2022","SD",195,"0.78"
"2021-2022","TN",456,"1.81"
"2021-2022","TX",2338,"9.30"
"2021-2022","UT",314,"1.25"
"2021-2022","VA",335,"1.33"
"2021-2022","VT",56,"0.22"
"2021-2022","WA",709,"2.82"
"2021-2022","WI",607,"2.41"
"2021-2022","WV",133,"0.53"
"2021-2022","WY",100,"0.40"
